instance,scope,version,variant,seed,source_file,constraint_type,index_0_based,observed_value,operator,limit,slack,satisfied,item_weight,class_setup_weight,items_0_based,classes_0_based,knapsacks_0_based,rule,instance_file
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,knapsack_capacity,9,133,<=,133,0,true,107,26,"[9,24,30,36,74,87,88,94,99,104,111,153,167,179,189,191,198,219,227,250,256,257,279,296]","[1,2,3,6,9,11,15,24,28]",[9],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,0,2,<=,4,2,true,,,,[0],"[1,6]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,1,3,<=,4,1,true,,,,[1],"[0,5,9]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,2,4,<=,4,0,true,,,,[2],"[0,2,6,9]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,3,2,<=,8,6,true,,,,[3],"[7,9]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,4,3,<=,4,1,true,,,,[4],"[0,6,7]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,5,3,<=,7,4,true,,,,[5],"[0,3,8]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,6,3,<=,7,4,true,,,,[6],"[0,4,9]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,7,2,<=,7,5,true,,,,[7],"[7,8]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,8,1,<=,4,3,true,,,,[8],[4],Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,9,3,<=,7,4,true,,,,[9],"[3,5,9]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,10,1,<=,3,2,true,,,,[10],[6],Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,11,4,<=,6,2,true,,,,[11],"[2,3,5,9]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,12,2,<=,2,0,true,,,,[12],"[2,4]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,13,3,<=,8,5,true,,,,[13],"[1,3,8]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,14,3,<=,9,6,true,,,,[14],"[0,1,4]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,15,2,<=,4,2,true,,,,[15],"[5,9]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,16,5,<=,7,2,true,,,,[16],"[1,3,4,5,8]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,17,4,<=,5,1,true,,,,[17],"[0,4,6,8]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,18,3,<=,4,1,true,,,,[18],"[6,7,8]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,19,3,<=,3,0,true,,,,[19],"[5,6,7]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,20,3,<=,8,5,true,,,,[20],"[1,2,8]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,21,2,<=,2,0,true,,,,[21],"[4,6]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,22,2,<=,6,4,true,,,,[22],"[1,5]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,23,5,<=,10,5,true,,,,[23],"[0,1,2,3,4]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,24,5,<=,9,4,true,,,,[24],"[0,1,2,4,9]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,25,2,<=,3,1,true,,,,[25],"[6,8]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,26,2,<=,4,2,true,,,,[26],"[2,3]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,27,3,<=,4,1,true,,,,[27],"[1,7,8]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,28,4,<=,7,3,true,,,,[28],"[0,6,7,9]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,class_knapsack_limit,29,4,<=,6,2,true,,,,[29],"[0,4,7,8]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,solution_length,,300,equal to,300,0,true,,,,,,The vector contains exactly one value per item: length(solution) = n_items.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,assignment_domain,,0,equal to,0,0,true,,,,,,Noninteger assignments or assignments outside 0..m = 0. Real knapsacks: 0..m-1. m = unassigned.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,knapsack_capacity,0,131,<=,131,0,true,108,23,"[3,10,24,29,43,69,117,119,123,162,164,167,170,196,204,210,216,219,235,236,253,254]","[0,3,7,9,10,16,24,29]",[0],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,knapsack_capacity,1,131,<=,131,0,true,107,24,"[19,28,31,40,72,110,120,140,155,165,168,172,188,191,201,220,261,264,289]","[4,9,11,12,14,19,28,29]",[1],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,knapsack_capacity,2,131,<=,131,0,true,108,23,"[11,12,16,26,49,73,91,103,107,112,121,137,141,158,185,189,213,227,258,275,285,293,298]","[6,11,12,16,18,24,26,28]",[2],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,knapsack_capacity,3,130,<=,131,1,true,110,20,"[23,53,56,65,86,87,106,114,149,154,173,177,181,200,206,208,229,241,245,263,269,280]","[2,15,19,23,26,28]",[3],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,knapsack_capacity,4,131,<=,131,0,true,100,31,"[4,5,17,34,52,61,62,64,74,82,93,100,134,139,143,146,156,166,171,187,190,231,242,243,271]","[1,2,4,5,6,17,22,23,24,27]",[4],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,knapsack_capacity,5,131,<=,131,0,true,109,22,"[6,13,27,57,58,71,83,89,124,138,150,151,153,159,175,198,209,230,233,248,270,274,297]","[1,5,6,8,9,12,13,27]",[5],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,knapsack_capacity,6,131,<=,131,0,true,103,28,"[1,25,33,36,44,46,59,88,98,116,125,157,163,174,183,186,202,240,255,265,267,284,292]","[1,7,9,16,17,19,20,21,25,27]",[6],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,knapsack_capacity,7,131,<=,131,0,true,99,32,"[14,47,60,67,75,90,92,102,104,130,131,135,136,180,182,199,215,221,225,234,246,260,262,268,282,283,290]","[4,8,10,11,12,14,15,18,23,25]",[7],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,knapsack_capacity,8,130,<=,131,1,true,98,32,"[2,7,20,21,22,54,66,78,79,96,115,128,133,144,178,184,193,194,195,211,217,222,250,256,257,266,276,291]","[2,6,7,9,11,15,19,20,21,22,25]",[8],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,knapsack_capacity,9,131,<=,131,0,true,114,17,"[0,8,39,45,48,51,126,145,148,160,161,192,203,218,244,251]","[0,8,10,13,15,20]",[9],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,0,2,<=,5,3,true,,,,[0],"[0,9]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,1,3,<=,8,5,true,,,,[1],"[4,5,6]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,2,3,<=,6,3,true,,,,[2],"[3,4,8]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,3,1,<=,7,6,true,,,,[3],[0],Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,4,3,<=,10,7,true,,,,[4],"[1,4,7]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,5,2,<=,4,2,true,,,,[5],"[4,5]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,6,4,<=,10,6,true,,,,[6],"[2,4,5,8]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,7,3,<=,6,3,true,,,,[7],"[0,6,8]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,8,3,<=,9,6,true,,,,[8],"[5,7,9]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,9,5,<=,7,2,true,,,,[9],"[0,1,5,6,8]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,10,3,<=,6,3,true,,,,[10],"[0,7,9]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,11,4,<=,9,5,true,,,,[11],"[1,2,7,8]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,12,4,<=,4,0,true,,,,[12],"[1,2,5,7]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,13,2,<=,2,0,true,,,,[13],"[5,9]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,14,2,<=,6,4,true,,,,[14],"[1,7]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,15,4,<=,6,2,true,,,,[15],"[3,7,8,9]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,16,3,<=,9,6,true,,,,[16],"[0,2,6]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,17,2,<=,10,8,true,,,,[17],"[4,6]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,18,2,<=,7,5,true,,,,[18],"[2,7]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,19,4,<=,6,2,true,,,,[19],"[1,3,6,8]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,20,3,<=,3,0,true,,,,[20],"[6,8,9]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,21,2,<=,9,7,true,,,,[21],"[6,8]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,22,2,<=,2,0,true,,,,[22],"[4,8]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,23,3,<=,5,2,true,,,,[23],"[3,4,7]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,24,3,<=,6,3,true,,,,[24],"[0,2,4]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,25,3,<=,4,1,true,,,,[25],"[6,7,8]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,26,2,<=,4,2,true,,,,[26],"[2,3]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,27,3,<=,7,4,true,,,,[27],"[4,5,6]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,28,3,<=,8,5,true,,,,[28],"[1,2,3]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_2,global,static,full_static,15,runs/full30/tuned2/1_2_s15.json,class_knapsack_limit,29,2,<=,8,6,true,,,,[29],"[0,1]",Number of distinct real knapsacks containing at least one item of the class <= class nr.,instances_and_solutions/instances_and_solutions/instances/large_size/1_2.inc
1_3,global,static,full_static,2,runs/full30/tuned2_ext/1_3_s2.json,solution_length,,300,equal to,300,0,true,,,,,,The vector contains exactly one value per item: length(solution) = n_items.,instances_and_solutions/instances_and_solutions/instances/large_size/1_3.inc
1_3,global,static,full_static,2,runs/full30/tuned2_ext/1_3_s2.json,assignment_domain,,0,equal to,0,0,true,,,,,,Noninteger assignments or assignments outside 0..m = 0. Real knapsacks: 0..m-1. m = unassigned.,instances_and_solutions/instances_and_solutions/instances/large_size/1_3.inc
1_3,global,static,full_static,2,runs/full30/tuned2_ext/1_3_s2.json,knapsack_capacity,0,136,<=,136,0,true,111,25,"[5,27,29,34,45,53,77,93,95,100,106,109,110,117,128,131,133,155,163,188,196,219,231,249,251,256,264,284]","[2,5,7,9,18,19,27,29]",[0],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_3.inc
1_3,global,static,full_static,2,runs/full30/tuned2_ext/1_3_s2.json,knapsack_capacity,1,135,<=,136,1,true,105,30,"[14,30,46,49,79,88,89,91,119,136,174,189,193,202,213,214,223,241,271,273,287]","[1,4,5,10,12,14,17,26,29]",[1],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_3.inc
1_3,global,static,full_static,2,runs/full30/tuned2_ext/1_3_s2.json,knapsack_capacity,2,136,<=,136,0,true,114,22,"[4,12,58,61,108,112,113,118,120,149,150,151,158,185,211,215,229,237,270,276,277,281,282]","[4,7,12,21,24,26,27]",[2],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_3.inc
1_3,global,static,full_static,2,runs/full30/tuned2_ext/1_3_s2.json,knapsack_capacity,3,136,<=,136,0,true,112,24,"[22,54,64,68,70,75,90,94,121,154,181,199,209,234,245,297]","[3,8,9,10,11,17,22,27]",[3],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_3.inc
1_3,global,static,full_static,2,runs/full30/tuned2_ext/1_3_s2.json,knapsack_capacity,4,136,<=,136,0,true,110,26,"[18,20,25,33,35,43,63,65,125,139,165,169,177,187,206,220,232,233,239,247,250,258,263,268,283]","[1,2,3,6,10,18,20,21,25]",[4],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_3.inc
1_3,global,static,full_static,2,runs/full30/tuned2_ext/1_3_s2.json,knapsack_capacity,5,136,<=,136,0,true,109,27,"[1,24,57,76,78,84,86,116,122,129,140,143,157,176,178,197,198,216,218,221,253,265,298]","[1,13,14,15,22,23,24,25]",[5],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_3.inc
